#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:dummy_aln" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:dummy_aln" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:dummy_aln" name="popSize">17.0</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:dummy_aln" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:dummy_aln">
#                    <trait id="dateTrait.t:dummy_aln" spec="beast.evolution.tree.TraitSet" traitname="date">
#                t1_2000=2000.0,
#t2_2005=2005.0,
#t3_2003.51=2003.51,
#t4_2004.86=2004.86,
#t5_2004.04=2004.04,
#t6_2003.19=2003.19,
#t7_2004.41=2004.41,
#t8_2003.43=2003.43,
#t9_2002.95=2002.95,
#t10_2004.17=2004.17,
#t11_2001.38=2001.38,
#t12_2002.95=2002.95,
#t13_2004.98=2004.98,
#t14_2004.66=2004.66,
#t15_2001.7=2001.7,
#t16_2004.7=2004.7,
#t17_2003.96=2003.96,
#t18_2002.28=2002.28,
#t19_2001.28=2001.28,
#t20_2002.06=2002.06,
#t21_2001.25=2001.25,
#t22_2000.1=2000.1,
#t23_2004.42=2004.42,
#t24_2002.57=2002.57,
#t25_2001.03=2001.03,
#t26_2004.33=2004.33,
#t27_2001.66=2001.66,
#t28_2004.33=2004.33,
#t29_2004.59=2004.59,
#t30_2003.14=2003.14,
#t31_2000.9=2000.9,
#t32_2002.71=2002.71,
#t33_2003.11=2003.11,
#t34_2002.08=2002.08,
#t35_2001.46=2001.46,
#t36_2004.96=2004.96,
#t37_2005=2005.0,
#t38_2003.36=2003.36,
#t39_2002=2002.0,
#t40_2003.31=2003.31,
#t41_2001.86=2001.86,
#t42_2004.58=2004.58,
#t43_2003.16=2003.16,
#t44_2000.25=2000.25,
#t45_2000.88=2000.88,
#t46_2001.49=2001.49,
#t47_2003.42=2003.42,
#t48_2002.2=2002.2,
#t49_2004=2004.0,
#t50_2000.5=2000.5,
#t51_2001.2=2001.2,
#t52_2001.64=2001.64,
#t53_2000.2=2000.2,
#t54_2002.29=2002.29,
#t55_2000.15=2000.15,
#t56_2000.17=2000.17,
#t57_2004.17=2004.17,
#t58_2004.83=2004.83,
#t59_2000.24=2000.24,
#t60_2001.54=2001.54,
#t61_2001.66=2001.66,
#t62_2002.07=2002.07,
#t63_2000.41=2000.41,
#t64_2001.54=2001.54,
#t65_2001.8=2001.8,
#t66_2000.24=2000.24,
#t67_2004.1=2004.1,
#t68_2001.85=2001.85,
#t69_2004.68=2004.68,
#t70_2004.42=2004.42,
#t71_2000.03=2000.03,
#t72_2004.48=2004.48,
#t73_2003.9=2003.9,
#t74_2001.39=2001.39,
#t75_2002.82=2002.82,
#t76_2002.53=2002.53,
#t77_2004.12=2004.12,
#t78_2002.62=2002.62,
#t79_2004.78=2004.78,
#t80_2003.11=2003.11,
#t81_2004.96=2004.96,
#t82_2003.1=2003.1,
#t83_2003.73=2003.73,
#t84_2004.39=2004.39,
#t85_2002.56=2002.56,
#t86_2004.79=2004.79,
#t87_2004.22=2004.22,
#t88_2000.71=2000.71,
#t89_2001.42=2001.42,
#t90_2002.4=2002.4,
#t91_2002.1=2002.1,
#t92_2002.81=2002.81,
#t93_2000.34=2000.34,
#t94_2002.71=2002.71,
#t95_2004.69=2004.69,
#t96_2003.53=2003.53,
#t97_2003.04=2003.04,
#t98_2002.23=2002.23,
#t99_2003.99=2003.99,
#t100_2001.37=2001.37                
#                                    <taxa id="TaxonSet.dummy_aln" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.dummy_aln"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:dummy_aln" name="distribution">
#            <parameter id="clockRate.c:dummy_aln" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:dummy_aln" name="distribution" x="@popSize.t:dummy_aln">
#            <Uniform id="Uniform.01" lower="16.0" name="distr" upper="18.0"/>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	popSize	CoalescentConstant.
0	-287.4047098805713	NaN	-287.4047098805713	NaN	6.213358233310545	1.0	17.0	-286.71156270001137
500	-296.30738179589326	NaN	-296.30738179589326	NaN	16.470393310542082	1.3504386029672726	17.0	-295.6142346153333
1000	-311.6576175150073	NaN	-311.6576175150073	NaN	19.337555148413443	1.7890703532110126	17.0	-310.96447033444736
1500	-323.1926942062279	NaN	-323.1926942062279	NaN	12.839619378416852	0.9932282781494063	17.0	-322.49954702566794
2000	-340.3075963346265	NaN	-340.3075963346265	NaN	20.051119068408205	0.7968088532834631	17.0	-339.61444915406656
2500	-349.8918176105079	NaN	-349.8918176105079	NaN	43.9801279687095	1.2431288766171398	17.0	-349.198670429948
3000	-358.44751005009726	NaN	-358.44751005009726	NaN	31.796610240885645	1.0647020323856087	17.0	-357.7543628695373
3500	-365.28218536992443	NaN	-365.28218536992443	NaN	34.992266003349414	1.1308962555097002	17.0	-364.5890381893645
4000	-369.4572510513741	NaN	-369.4572510513741	NaN	72.44925842283939	0.4740463590969263	17.0	-368.76410387081415
4500	-370.9067233278779	NaN	-370.9067233278779	NaN	40.68372701760502	1.149819530378621	17.0	-370.21357614731795
5000	-379.61496685781617	NaN	-379.61496685781617	NaN	62.81361002360921	1.300934158669705	17.0	-378.9218196772562
5500	-376.2221854342547	NaN	-376.2221854342547	NaN	33.922356654998005	0.7324437962170445	17.0	-375.52903825369475
6000	-361.4113340327365	NaN	-361.4113340327365	NaN	27.047394414760433	1.7478463170022032	17.0	-360.71818685217653
6500	-373.3034540424635	NaN	-373.3034540424635	NaN	29.438948010446335	1.5766448140296696	17.0	-372.61030686190355
7000	-385.13062567504227	NaN	-385.13062567504227	NaN	23.95406488409813	2.346211352665612	17.0	-384.4374784944823
7500	-373.868716629633	NaN	-373.868716629633	NaN	54.80442126428386	2.5360081844693214	17.0	-373.17556944907307
8000	-371.8575714403199	NaN	-371.8575714403199	NaN	62.18885304180381	1.0503011522414938	17.0	-371.1644242597599
8500	-375.7600351858809	NaN	-375.7600351858809	NaN	25.190701046902607	0.6152835516732916	17.0	-375.06688800532095
9000	-381.2635694926037	NaN	-381.2635694926037	NaN	50.09642903199803	1.0356682174715632	17.0	-380.5704223120438
9500	-366.5835876322696	NaN	-366.5835876322696	NaN	55.87544367382816	0.39417875249175377	17.0	-365.89044045170965
10000	-371.1318892957078	NaN	-371.1318892957078	NaN	14.860403193188835	0.8193840088841435	17.0	-370.4387421151479
10500	-372.31379774065164	NaN	-372.31379774065164	NaN	18.345646319378446	2.993106221304997	17.0	-371.6206505600917
11000	-367.22817066718665	NaN	-367.22817066718665	NaN	13.976693115047723	3.5647777821154776	17.0	-366.5350234866267
11500	-373.41210511023786	NaN	-373.41210511023786	NaN	20.511392419959588	5.363175278986491	17.0	-372.7189579296779
12000	-373.5211101237289	NaN	-373.5211101237289	NaN	23.42921195802584	12.182504465778946	17.0	-372.8279629431689
12500	-371.983244867597	NaN	-371.983244867597	NaN	16.21810175842222	11.893007114000099	17.0	-371.2900976870371
13000	-370.13198681778334	NaN	-370.13198681778334	NaN	21.78440580953228	18.034517723980088	17.0	-369.4388396372234
13500	-377.0244391800017	NaN	-377.0244391800017	NaN	32.006495664551935	19.121721813186717	17.0	-376.33129199944176
14000	-376.2299515334748	NaN	-376.2299515334748	NaN	41.439968993447714	63.42046456364806	17.0	-375.5368043529148
14500	-386.38217020974486	NaN	-386.38217020974486	NaN	22.934407384460712	138.32261654073415	17.0	-385.6890230291849
15000	-380.58718951933747	NaN	-380.58718951933747	NaN	56.98828058321037	215.9515189599806	17.0	-379.8940423387775
15500	-392.8592559904411	NaN	-392.8592559904411	NaN	94.24343483664626	182.35090996333537	17.0	-392.16610880988117
16000	-380.4809926778858	NaN	-380.4809926778858	NaN	38.62080920589418	640.5521416108483	17.0	-379.78784549732586
16500	-373.9406662241103	NaN	-373.9406662241103	NaN	37.05640322216405	365.65903634757285	17.0	-373.24751904355037
17000	-383.137337169133	NaN	-383.137337169133	NaN	33.36469780963315	482.38505364846844	17.0	-382.44418998857304
17500	-381.8139760425876	NaN	-381.8139760425876	NaN	21.35044691577763	286.2461582656151	17.0	-381.1208288620277
18000	-382.0082758087302	NaN	-382.0082758087302	NaN	71.43675431240703	361.59709250242634	17.0	-381.31512862817027
18500	-385.8632677147055	NaN	-385.8632677147055	NaN	20.875239788340753	589.6318931106681	17.0	-385.17012053414555
