#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:dummy_aln" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:dummy_aln" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:dummy_aln" name="popSize">14.36</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:dummy_aln" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:dummy_aln">
#                    <trait id="dateTrait.t:dummy_aln" spec="beast.evolution.tree.TraitSet" traitname="date">
#            t1_30.14=30.14,
#t77_32.49=32.49,
#t38_30.2=30.2,
#t58_30.36=30.36,
#t55_29.91=29.91,
#t12_44.47=44.47,
#t25_42.44=42.44,
#t54_44.06=44.06,
#t16_44.51=44.51,
#t17_45.06=45.06,
#t48_44.79=44.79,
#t21_44.49=44.49,
#t61_43.44=43.44,
#t23_45.07=45.07,
#t70_43.49=43.49,
#t96_44.93=44.93,
#t88_40.76=40.76,
#t39_35.89=35.89,
#t81_30.03=30.03,
#t43_27.02=27.02,
#t3_27.67=27.67,
#t79_27.67=27.67,
#t56_26.22=26.22,
#t63_24.77=24.77,
#t4_35.81=35.81,
#t5_43.5=43.5,
#t31_44.06=44.06,
#t51_44.45=44.45,
#t74_42.49=42.49,
#t19_39.61=39.61,
#t15_39.23=39.23,
#t60_40.83=40.83,
#t71_43.61=43.61,
#t93_44.32=44.32,
#t89_40.79=40.79,
#t78_39.05=39.05,
#t57_42.88=42.88,
#t28_44.36=44.36,
#t52_43.67=43.67,
#t80_43.53=43.53,
#t33_41.13=41.13,
#t59_44.85=44.85,
#t36_43.69=43.69,
#t87_44.39=44.39,
#t34_43.16=43.16,
#t90_44.21=44.21,
#t44_42.31=42.31,
#t85_43.12=43.12,
#t47_42.22=42.22,
#t92_42.09=42.09,
#t84_40.1=40.1,
#t73_40.33=40.33,
#t30_41.4=41.4,
#t98_41.23=41.23,
#t86_41.2=41.2,
#t75_39.47=39.47,
#t83_40.09=40.09,
#t100_34.88=34.88,
#t11_32.94=32.94,
#t45_37.38=37.38,
#t67_37.02=37.02,
#t94_35.96=35.96,
#t41_31.76=31.76,
#t26_28.51=28.51,
#t50_28.08=28.08,
#t53_27.72=27.72,
#t37_27.97=27.97,
#t18_36.36=36.36,
#t95_33.51=33.51,
#t27_29.6=29.6,
#t6_32.29=32.29,
#t10_41.9=41.9,
#t24_44.28=44.28,
#t35_43.64=43.64,
#t99_44.86=44.86,
#t46_34.98=34.98,
#t49_38.05=38.05,
#t62_36.91=36.91,
#t69_29.82=29.82,
#t68_21.78=21.78,
#t2_27.38=27.38,
#t97_27.1=27.1,
#t64_27=27,
#t76_26.34=26.34,
#t20_26.8=26.8,
#t42_27.04=27.04,
#t9_24.76=24.76,
#t82_25.09=25.09,
#t7_34.75=34.75,
#t40_35.15=35.15,
#t13_40.86=40.86,
#t91_36.74=36.74,
#t22_28.36=28.36,
#t8_27.86=27.86,
#t29_28.5=28.5,
#t14_28.86=28.86,
#t65_29.08=29.08,
#t32_26.02=26.02,
#t72_24.61=24.61,
#t66_26.77=26.77
#                                    <taxa id="TaxonSet.dummy_aln" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.dummy_aln"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:dummy_aln" name="distribution">
#            <parameter id="clockRate.c:dummy_aln" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:dummy_aln" name="distribution" x="@popSize.t:dummy_aln">
#            <Normal id="Normal.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="mean">14.36</parameter>
#                <parameter estimate="false" id="RealParameter.03" name="sigma">1.44</parameter>
#            </Normal>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	popSize	CoalescentConstant.
0	-271.85511600247906	NaN	-271.85511600247906	NaN	24.462074592773366	1.0	14.36	-270.5715343556865
5000	-317.14728020493726	NaN	-317.14728020493726	NaN	61.452939651556214	0.10054620338831603	10.49735891696645	-312.2660914650846
10000	-326.5052308048494	NaN	-326.5052308048494	NaN	49.53447358886411	0.1584001623793177	11.240836341232054	-322.87568515097286
15000	-336.81170651592385	NaN	-336.81170651592385	NaN	32.1835469921761	0.054925939304007895	11.935106349274948	-334.11027445986076
20000	-350.36672781189475	NaN	-350.36672781189475	NaN	30.935417518156665	5.2168180560389645	14.084270970513984	-349.0648141585191
25000	-362.98777943270255	NaN	-362.98777943270255	NaN	40.60867578647097	366.93834196249253	12.512792607189814	-360.8814317866689
30000	-360.49542454611395	NaN	-360.49542454611395	NaN	36.16188082632997	1.779333296508421E10	15.100802870374263	-359.07951533065943
35000	-357.46341474020267	NaN	-357.46341474020267	NaN	45.101595705397905	2.3513670666264964E23	14.495199089996785	-356.17542559101423
40000	-360.2444386715143	NaN	-360.2444386715143	NaN	57.00446768292812	2.0366105249820918E39	14.085207588154809	-358.9426493497584
45000	-363.13949231582427	NaN	-363.13949231582427	NaN	43.36750472749754	1.9631543519718182E52	16.039120343153176	-361.1760676118387
50000	-351.93027948817627	NaN	-351.93027948817627	NaN	34.57605516753218	7.709600140915515E62	13.360010812540278	-350.4055765125265
55000	-390.6085260429402	NaN	-390.6085260429402	NaN	65.04979036941218	8.530636836075924E76	15.691904392700396	-388.8971933083547
60000	-372.7491417696911	NaN	-372.7491417696911	NaN	43.70883799513355	1.5958016199896792E88	13.941950327067877	-371.4234195150092
65000	-360.6114300070092	NaN	-360.6114300070092	NaN	36.39350474527456	2.1861505876009525E107	13.19884660868723	-359.0027429401363
70000	-364.67672756382666	NaN	-364.67672756382666	NaN	38.674874501332305	1.492383039822055E121	13.57015123995707	-363.24271645529086
75000	-378.59209696009145	NaN	-378.59209696009145	NaN	46.62564108952445	5.35231160765459E134	16.005074208319947	-376.65596198795174
80000	-375.27505275161366	NaN	-375.27505275161366	NaN	47.16108739558832	1.9218547465670207E148	14.825671279112548	-373.939182876573
85000	-369.2804334476569	NaN	-369.2804334476569	NaN	45.86922479303224	5.827431078320816E163	15.984993157506297	-367.3601323848867
90000	-349.55268904773953	NaN	-349.55268904773953	NaN	76.71220909597712	5.873759628887451E183	13.536079989377168	-348.1054200495039
95000	-342.1686018369852	NaN	-342.1686018369852	NaN	44.15605266249282	1.4737317370784205E195	15.246856754992839	-340.69537057023786
100000	-348.51165558808555	NaN	-348.51165558808555	NaN	30.91083465234401	2.749944095654839E207	15.367996444412466	-346.9830756697005
105000	-358.949103622654	NaN	-358.949103622654	NaN	55.05753591014128	6.021703679377545E223	14.540139466218497	-357.65769736472873
110000	-357.69500744774484	NaN	-357.69500744774484	NaN	60.91789016451081	1.3634319070504573E244	14.032748685430475	-356.38560273409087
115000	-361.5018704578262	NaN	-361.5018704578262	NaN	30.323123542821644	1.0521568554841494E256	13.742424868404449	-360.12632337817166
120000	-376.6414471312247	NaN	-376.6414471312247	NaN	84.70866940141816	7.052878445459269E266	15.948947489553412	-374.74908024992254
125000	-400.4429976242193	NaN	-400.4429976242193	NaN	55.92271355468508	2.5509697133795504E278	14.844860851750887	-399.1027295273976
130000	-384.3536509352187	NaN	-384.3536509352187	NaN	51.597639839169865	8.478175233968158E291	16.770812958105882	-381.6686372091989
135000	-390.5116356441674	NaN	-390.5116356441674	NaN	61.84044183908131	1.8033945918660598E306	15.240394955723746	-389.041157952317
140000	-380.3261978185632	NaN	-380.3261978185632	NaN	39.180230771574074	Infinity	13.342629546900566	-378.79303991819233
145000	-369.8565407103245	NaN	-369.8565407103245	NaN	35.76122616807864	Infinity	13.067789623052176	-368.17032411506267
150000	-375.35529028263323	NaN	-375.35529028263323	NaN	43.292379697748636	Infinity	15.344681777714626	-373.8379127727612
155000	-372.92784890329557	NaN	-372.92784890329557	NaN	50.37101454661346	Infinity	15.532991253333073	-371.31249920085196
160000	-374.97721093237107	NaN	-374.97721093237107	NaN	47.63318146074135	Infinity	15.989881380399117	-373.05307341314125
165000	-360.86219238204797	NaN	-360.86219238204797	NaN	37.529416302371786	Infinity	13.444347948870808	-359.3764457374889
170000	-367.7173143779762	NaN	-367.7173143779762	NaN	41.9502453476494	Infinity	16.0211302715551	-365.76837929294175
175000	-372.97276942407973	NaN	-372.97276942407973	NaN	57.826280568098184	Infinity	15.494333063321783	-371.3789274815346
180000	-376.9759393752672	NaN	-376.9759393752672	NaN	35.71121202455533	Infinity	15.658957038527932	-375.2855074709656
185000	-360.99396050665257	NaN	-360.99396050665257	NaN	35.61643576274523	Infinity	12.839613001980384	-359.1529963792111
190000	-345.8291940514605	NaN	-345.8291940514605	NaN	48.150418969187626	Infinity	11.425432112512206	-342.46910568054693
195000	-364.29924262937857	NaN	-364.29924262937857	NaN	40.81764740430644	Infinity	15.110948013865587	-362.87968419836324
200000	-377.4942181083303	NaN	-377.4942181083303	NaN	41.71892898554097	Infinity	14.231995993186393	-376.20668559691575
205000	-384.144403566908	NaN	-384.144403566908	NaN	47.99115837146628	Infinity	14.431865966192094	-382.8595765697352
210000	-386.20042355688383	NaN	-386.20042355688383	NaN	51.50584537171447	Infinity	14.692118874865475	-384.89024494176516
215000	-390.4485744240895	NaN	-390.4485744240895	NaN	78.5868571342426	Infinity	16.369055834363486	-388.19173242197525
220000	-359.1130868056599	NaN	-359.1130868056599	NaN	54.112790144960016	Infinity	14.186982696746536	-357.8222870388767
